plot,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
2014-1--1,,,,,,,חיטה ב',אפונה,תפוא ,חיטה א',חיטה ב',שעורה,תפוא,חיטה א',חיטה ב',חימצה
2014-2--1,,,,,,,חיטה ב',אפונה,תפוא,חיטה א',חיטה ב',שעורה,תפוא,חיטה א',חיטה ב',חימצה
2014-3--1,,,,,,,חיטה ב',אפונה,תפוא,חיטה א',חיטה ב',שעורה,תפוא,חיטה א',חיטה ב',חימצה
2014-1--2,,,,,,,חיטה ב',אפונה,תפוא ,חיטה א',חיטה ב',שעורה,תפוא,חיטה א',חיטה ב',שעורה
2014-2--2,,,,,,,חיטה ב',אפונה,תפוא ,חיטה א',חיטה ב',שעורה,תפוא,חיטה א',חיטה ב',שעורה
2014-3--2,,,,,,,חיטה ב',אפונה,תפוא ,חיטה א',חיטה ב',שעורה,תפוא,חיטה א',חיטה ב',שעורה
2015-1,,,,,,חיטה ב' + אפונה,תפוא ,חיטה ד' + חיטה א',תפוא ,חיטה א',חיטה ב',שעורה,תפוא,חיטה א',חיטה ב',שעורה
2015-2--1,,,,,,חיטה א',תפוא,חיטה א',חיטה ב',אפונה,חיטה א',תפוא,חיטה א',חיטה ב',שעורה,תפוא
2015-3--1,,,,,,חיטה א',תפוא,חיטה א',חיטה ב',אפונה,חיטה א',תפוא,חיטה א',חיטה ב',שעורה,תפוא
2015-4--1,,,,,,חיטה א',תפוא,חיטה א',חיטה ב',אפונה,חיטה א',תפוא,חיטה א',חיטה ב',שעורה,תפוא
2015-2--2,,,,,,חיטה א',תפוא ,חיטה א',חיטה ב',אפונה,תפוא,חיטה א',חיטה ב',שעורה / טף,תפוא,חיטה א'
2015-3--2,,,,,,חיטה א',תפוא ,חיטה א',חיטה ב',אפונה,תפוא,חיטה א',חיטה ב',שעורה / טף,תפוא,חיטה א'
2015-4--2,,,,,,,חיטה א',תפוא,חיטה א',חיטה ב',אפונה,תפוא,חיטה א',חיטה ב',מללי,חיטה א'
2015-2--3,,,,,,חיטה א',תפוא,חיטה א',חיטה ב',אפונה,תפוא,חיטה א',חיטה ב',שעורה / טף,תפוא,חיטה א'
2015-3--3,,,,,,חיטה א',תפוא,חיטה א',חיטה ב',אפונה,תפוא,חיטה א',חיטה ב',שעורה / טף,תפוא,חיטה א'
2015-4--3,,,,,,,חיטה א',תפוא / מללי,חיטה א',חיטה ב',אפונה,תפוא,חיטה א',חיטה ב',מללי,חיטה א'
2015-5,,,,,,חיטה א',תפוא,חיטה א',חיטה ב',אפונה,חיטה א',תפוא,חיטה א',חיטה ב',שעורה/מללי,תפוא
2016-1,,,,,,אפונה,תפוא,חיטה א',חיטה ב',אפונה,תפוא,חיטה א',חיטה ב',שעורה,תפוא,חיטה א'
2016-2,,,,,,אפונה,תפוא,חיטה א',חיטה ב',אפונה,תפוא,חיטה א',חיטה ב',שעורה,תפוא,חיטה א'
2017-1,,,,,,חיטה ב',חיטה ב',תפוא,חיטה א',חיטה ב',אפונה,תפוא,חיטה א',חיטה ב',שעורה,תפוא
2017-2,,,,,,חיטה ב',חיטה ב',תפוא,חיטה א',חיטה ב',אפונה,תפוא,חיטה א',חיטה ב',שעורה,תפוא
2018,,,,,,חיטה ב',חיטה ב',תפוא,תפוא,חיטה א',חיטה ב',אפונה,תפוא,חיטה א',חיטה ב',שעורה
2020,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',שעורה,כרב נח
2021-1,,,,,,תפוא,חיטה א',תפוא,חיטה א',חיטה ב',אפונה,תפוא,חיטה א',חיטה ב',שעורה,תפוא
2021-2,,,,,,תפוא,חיטה א',תפוא,חיטה א',חיטה ב',אפונה,תפוא,חיטה א',חיטה ב',שעורה,תפוא
2022-1--1,,,,,,חיטה א',חיטה ב',אפונה,תפוא,חיטה א',חיטה ב',שעורה,תפוא,חיטה א',חיטה ב',שעורה
2022-2--1,,,,,,חיטה א',חיטה ב',אפונה,תפוא ,חיטה א',חיטה ב',שעורה,תפוא ,חיטה א',חיטה ב',שעורה
2022-3--1,,,,,,,חיטה ב',אפונה,תפוא ,חיטה א',חיטה ב',שעורה,תפוא,חיטה א',חיטה ב',שעורה
2022-2--2,,,,,,חיטה א',חיטה ב',אפונה,תפוא,חיטה א',חיטה ב',שעורה,תפוא,חיטה א',חיטה ב',שעורה
2022-3--2,,,,,,,חיטה ב',אפונה,תפוא ,חיטה א',חיטה ב',שעורה,תפוא ,חיטה א',חיטה ב',שעורה
2024-1,,,,חיטה א',מללי,חיטה א',תפוא ,חיטה א',חיטה ב',אפונה + כרב נח,תפוא,חיטה א',שעורה,כרב נח,תפוא,חיטה א'
2024-2,,,,חיטה א',מללי,חיטה א',תפוא ,חיטה א',חיטה ב',אפונה + כרב נח,תפוא,חיטה א',שעורה,כרב נח,תפוא,חיטה א'
2025,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',אפונה,חיטה א' + כרב נח,חיטה ב' + כרב נח,שעורה,כרב נח
2027,,,,,,תפוא,חיטה א',חיטה ב',אפונה,חיטה א',תפוא,חיטה א',שעורה,כרב נח,תפוא,חיטה א'
2033-1,,,,,,תפוא,חיטה א',תפוא,חיטה א',חיטה ב',אפונה,תפוא,חיטה א',חיטה ב',שעורה,תפוא
2033-2,,,,,,תפוא,חיטה א',תפוא ,חיטה א',חיטה ב',אפונה,תפוא,חיטה א',חיטה ב',שעורה,תפוא
2034,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',תפוא,חיטה א',חיטה ב',תפוא,תפוא ,חיטה א',חיטה ב',חיטה ג',תפוא,חיטה א',חיטה ב'
2036-1,,,,,,,חיטה ב',חיטה ב',כרב נח,חיטה א',גזר,כרב נח,כרב נח,כרב נח,תפוא,פפריקה
2036-2--1,חיטה א',כרב נח,חיטה א',תילתן,חיטה א',כרב נח,חיטה א',חיטה ב',כרב נח,חיטה א' + (גזר / פפריקה),תפוא,שמיר,כרב נח,פפריקה,כרב נח,גזר
2036-3--1,חיטה א',כרב נח,חיטה א',תילתן,חיטה א',כרב נח,חיטה א',חיטה ב',כרב נח,חיטה א' + (גזר / פפריקה),תפוא,שמיר,כרב נח,פפריקה,כרב נח,גזר
2036-2--2,חיטה א',כרב נח,חיטה א',תילתן,חיטה א',כרב נח,חיטה א',חיטה ב',כרב נח,חיטה א' + (גזר / פפריקה),חיטה,שמיר,כרב נח,חיטה א',תפוא,גזר
2036-3--2,חיטה א',כרב נח,חיטה א',תילתן,חיטה א',כרב נח,חיטה א',חיטה ב',כרב נח,חיטה א' + (גזר / פפריקה),חיטה,שמיר,כרב נח,חיטה א',תפוא,גזר
2036-2--3,חיטה א',כרב נח,חיטה א',תילתן,חיטה א',כרב נח,חיטה א',חיטה ב',כרב נח,חיטה א' + (גזר / פפריקה),חיטה,כרב נח,גזר,כרב נח,לא רשום,כרב נח
2036-3--3,חיטה א',כרב נח,חיטה א',תילתן,חיטה א',כרב נח,חיטה א',חיטה ב',כרב נח,חיטה א' + (גזר / פפריקה),גזר,כרב נח,כרב נח,כרב נח,לא רשום,פפריקה
2036-2--4,חיטה א',כרב נח,חיטה א',תילתן,חיטה א',כרב נח,חיטה א',חיטה ב',כרב נח,חיטה א' + (גזר / פפריקה),חיטה,כרב נח,כרב נח,גזר,חיטה א',כרב נח
2038-1,חיטה א',כרב נח,חיטה א',כרב נח,חיטה א',תפוא,פפריקה,חיטה א',תפוא,גזר,חיטה א',כרב נח,פפריקה,כרב נח,תפוא,גזר
2038-2,חיטה א',כרב נח,חיטה א',כרב נח,חיטה א',תפוא,פפריקה,חיטה א',שמיר,חיטה א',גזר,תפוא,פפריקה,כרב נח,חיטה ב',תפוא
2041-1,,,,,,חיטה א',חיטה ב',חיטה ג',מללי,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',כרב נח,כרב נח
2041-2--1,,,,,,חיטה א' + אספסת,חיטה ב' + אספסת,חיטה ג' + אספסת,מללי + אספסת,חיטה א' + אספסת,חיטה ב' + חיטה א',אפונה,חיטה א',גזר,תפוא,פפריקה
2041-2--2,,,,,,,חיטה ב',חיטה ב',כרב נח,חיטה א',חיטה ב',לא רשום,לא רשום,גזר,תפוא,כרב נח
2043,חיטה א',כרב נח,חיטה א',תילתן,חיטה א',אפונה,חיטה א',חיטה ב',כרב נח,חיטה א',חיטה ב',כרב נח,חיטה א',חיטה ב',כרב נח,חיטה א'
2044,,,,,,,חיטה א',חיטה ב',כרב נח,חיטה א',חיטה ב',גזר,כרב נח,תפוא,פפריקה,חיטה א'
2045-1,,,,,,,חיטה א',חיטה ב',לא רשום,לא רשום,חיטה א',כרב נח,כרב נח,לא רשום,לא רשום,חיטה א'
2045-2,,,,,,,חיטה א',חיטה ב',כרב נח,חיטה א',חיטה ב',כרב נח,כרב נח,חיטה א',כרב נח,חיטה א'
2046-1,,,,,,,חיטה א',חיטה ב',כרב נח,חיטה א',חיטה ב',שעורה,כרב נח,גזר,תפוא,פפריקה
2046-2,,,,,,,חיטה א',חיטה ב',כרב נח,חיטה א',חיטה ב',שעורה,כרב נח,גזר,תפוא,פפריקה
2048,חיטה א',חיטה ב',,,,,,אפונה,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',כרב נח,חיטה א',חיטה ב'
1057,,מללי,חיטה א',חיטה ב',תפוא,תפוא,חיטה א',כרב נח,חיטה א',גזר,תפוא,חיטה א',חיטה ב',חיטה ג',תפוא,חיטה א'
1058,,,,,,,חיטה ב',כרב נח,חיטה א',כרב נח,חיטה א',תפוא,חיטה א',גזר,חיטה א',חיטה ב'
1059-1,,,,,,,חיטה ב',כרב נח,חיטה א',כרב נח,חיטה א',שעורה,כרב נח,חיטה א',כרב נח,חיטה א'
1059-2,,,,,,,חיטה ב',כרב נח,חיטה א',כרב נח,חיטה א',שעורה,כרב נח,חיטה א',כרב נח,חיטה א'
2219-1,,,,,,תפוא,חיטה א',תפוא,חיטה א',חיטה ב',אפונה,תפוא,חיטה א',חיטה ב',שעורה,תפוא
2219-2,,,,,,תפוא,חיטה א',תפוא ,חיטה א',חיטה ב',אפונה,תפוא,חיטה א',חיטה ב',שעורה,תפוא
2019-1,,,,,,תפוא,חיטה א',חיטה ב',אפונה,חיטה א',תפוא,חיטה א',חיטה ב',שעורה,תפוא,חיטה א'
2019-2,,,,,,תפוא,חיטה א',חיטה ב',אפונה,חיטה א',תפוא,חיטה א',חיטה ב',שעורה,תפוא,חיטה א'
2022-1--2,,,,,,חיטה א',חיטה ב',אפונה,כרב נח,חיטה א',חיטה ב',שעורה,כרב נח,חיטה א',חיטה ב',שעורה
2022-3,,,,,,,חיטה ב',אפונה,כרב נח,חיטה א',חיטה ב',שעורה,כרב נח,חיטה א',חיטה ב',שעורה
2034-9,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',תפוא,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',חיטה ג',כרב נח,חיטה א',חיטה ב',שעורה
2035,חיטה א',כרב נח,חיטה א',תילתן,חיטה א',כרב נח,חיטה א',חיטה ב',כרב נח,חיטה א',חיטה ב',כרב נח,גזר,תפוא,פפריקה,חיטה א'
2036-9--1,,,,,,,לא רשום,חיטה ב',לא רשום,לא רשום,חיטה א',כרב נח,כרב נח,כרב נח,לא רשום,חיטה א'
2036-9--2,חיטה א',כרב נח,חיטה א',תילתן,חיטה א',כרב נח,חיטה א',חיטה ב',כרב נח,חיטה א',חיטה ב',כרב נח,כרב נח,כרב נח,כרב נח,חיטה א'
2039-1--1,חיטה א',כרב נח,חיטה א',כרב נח,חיטה א',תפוא,תפוא ,גזר + (חיטה / פפריקה),חיטה א',חיטה ב',חיטה א',תפוא,גזר,חיטה א',פפריקה,חיטה לתחמיץ
2039-1--2,חיטה א',כרב נח,חיטה א',כרב נח,חיטה א',תפוא ,תפוא ,גזר + (חיטה / פפריקה),חיטה א',חיטה ב',פפריקה,כרב נח,תפוא,גזר,חיטה א',פפריקה
2039-1--3,חיטה א',כרב נח,חיטה א',כרב נח,חיטה א',תפוא,תפוא ,גזר + (חיטה / פפריקה),חיטה א',חיטה ב',גזר,תפוא,כרב נח,פפריקה,כרב נח,חיטה לתחמיץ
2039-1--4,חיטה א',כרב נח,חיטה א',כרב נח,חיטה א',תפוא ,תפוא ,גזר + (חיטה / פפריקה),חיטה א',גזר,חיטה א',תפוא,כרב נח,פפריקה,כרב נח,גזר
2039-2--1,חיטה א',כרב נח,חיטה א',כרב נח,חיטה א',תפוא ,תפוא,גזר,חיטה א',חיטה ב',חיטה א' + חיטה ב',גזר,תפוא,חיטה,פפריקה,חיטה לתחמיץ
2039-2--2,חיטה א',כרב נח,חיטה א',כרב נח,חיטה א',תפוא ,תפוא ,גזר,חיטה א',חיטה ב' / פפריקה,חיטה א' + חיטה ב',תפוא,גזר,חיטה,כרב נח,חיטה לתחמיץ
2039-2--3,חיטה א',כרב נח,חיטה א',כרב נח,חיטה א',תפוא,תפוא ,חיטה / פפריקה,חיטה א',חיטה ב',חיטה א' + חיטה ב',תפוא,כרב נח,פפריקה,כרב נח,גזר
2004-1,,,,,,פפריקה,מללי,תפוא,חיטה א',גזר / חיטה ב',אפונה,תפוא,חיטה א',חיטה ב',שעורה,תפוא
2004-2,,,,,,פפריקה,מללי,תפוא,חיטה א',גזר / חיטה ב',אפונה,תפוא,חיטה א',חיטה ב',שעורה,תפוא
2004-3,,,,,,פפריקה,מללי,תפוא,חיטה א',גזר / חיטה ב',חיטה א',תפוא,חיטה א',חיטה ב',שעורה,תפוא
2204-1,,,,,,חיטה א',תפוא,חיטה א',חיטה ב',גזר / אפונה,תפוא,חיטה א',חיטה ב',חימצה,תפוא,חיטה א'
2204-2,,,,,,חיטה א',תפוא,חיטה א',חיטה ב',גזר / אפונה,תפוא,חיטה א',חיטה ב',שעורה,תפוא,חיטה א'
2204-3,,,,,,חיטה א',תפוא,חיטה א',חיטה ב',גזר / אפונה,תפוא,חיטה א',חיטה ב',שעורה,תפוא,חיטה א'
2046-9,,,,,,,חיטה א',חיטה ב',כרב נח,חיטה א',חיטה ב',שעורה,כרב נח,חיטה א',כרב נח,חיטה א'
2049-1--1,חיטה א',כרב נח,חיטה א',כרב נח,חיטה א',תפוא, תפוא,חיטה ב' + חיטה א',גזר,חיטה א',תפוא,כרב נח,כרב נח,חיטה א',חיטה+כרב,תפוא
2049-1--2,חיטה א',כרב נח,חיטה א',כרב נח,חיטה א',תפוא,תפוא,חיטה ב' + חיטה א',גזר,חיטה א',תפוא,כרב נח,כרב נח,חיטה א',חיטה+כרב,חיטה לתחמיץ
2049-1--3,חיטה א',כרב נח,חיטה א',כרב נח,חיטה א',תפוא, תפוא,חיטה ב' + חיטה א',גזר,חיטה א',תפוא,פפריקה,כרב נח,חיטה א',גזר,חיטה לתחמיץ
2049-2--1,חיטה א',כרב נח,חיטה א',כרב נח,חיטה א',תפוא,תפוא,חיטה ב' + חיטה א',גזר,חיטה א',תפוא,כרב נח,כרב נח,חיטה א',פפריקה,חיטה א'
2049-2--2,חיטה א',כרב נח,חיטה א',כרב נח,חיטה א',תפוא, תפוא,חיטה ב' + חיטה א',גזר,חיטה א',חיטה ב',תפוא,כרב נח,חיטה א',גזר,חיטה לתחמיץ
2049-2--3,חיטה א',כרב נח,חיטה א',כרב נח,חיטה א',תפוא,תפוא,חיטה ב' + חיטה א',גזר,חיטה א',חיטה ב',פפריקה,כרב נח,תפוא,גזר,חיטה לתחמיץ
2008-1--1,,,,,,אפונה,חיטה א',חיטה ב',תפוא,תפוא,חיטה א',חיטה ב',שעורה,תפוא,חיטה א',חימצה
2008-1--2,,,,,,אפונה,חיטה א',חיטה ב',תפוא,תפוא,חיטה א',חיטה ב',שעורה,תפוא ,חיטה א',חיטה ב'
2008-2,,,,,,אפונה,חיטה א',חיטה ב',תפוא,תפוא,חיטה א',חיטה ב',שעורה,תפוא ,חיטה א',חיטה ב'
2208,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',שעורה,אבטיח
2009-1,,,,,,חיטה ב',חיטה ג',אפונה,מללי,חיטה א',חיטה ב',חיטה א',תפוא,חיטה א',חיטה ב',שעורה
2009-2,,,,,,חיטה ב',חיטה ג',אפונה,מללי,חיטה א',חיטה ב',חיטה א',תפוא,חיטה א',חיטה ב',שעורה
2209-1,,,,,, מללי,חיטה א',חיטה ב',אפונה,תפוא ,חיטה א',חיטה א',שעורה,תפוא ,חיטה א',חימצה
2209-2,,,,,, מללי,חיטה א',חיטה ב',אפונה,תפוא,חיטה א',חיטה א',שעורה,תפוא ,חיטה א',חימצה
2026-1--1,,,,,,תפוא,חיטה א',חיטה ב',אפונה,חיטה א',תפוא,חיטה א',חיטה ב',שעורה,תפוא,חיטה א'
2026-2--1,,,,,,תפוא,חיטה א',חיטה ב',אפונה,חיטה א',תפוא,חיטה א',חיטה ב',שעורה,תפוא,חיטה א'
2026-1--2,,,,,,חיטה א',חיטה ב',חיטה ב',אפונה,תפוא,חיטה א',חיטה ב',שעורה,תפוא,חיטה א',חימצה
2026-2--2,,,,,,חיטה א',חיטה ב',חיטה ב',אפונה,תפוא,חיטה א',חיטה ב',שעורה,תפוא,חיטה א',חימצה
101,,,,מללי,תפוא,חיטה א',תפוא,חיטה א',חיטה ב',גזר,חיטה א',תפוא,חיטה א',חיטה ב',שעורה,תפוא
183-1,,,חיטה ב',חומוס,תפוא,חיטה א',חיטה ב',חיטה ב',גזר + חיטה א',תפוא,חיטה א',חיטה ב',שעורה,תפוא,חיטה א',חיטה ב'
183-2,,,חיטה ב',חומוס,תפוא,חיטה א',חיטה ב',חיטה ב',גזר + חיטה א',תפוא,חיטה א',חיטה ב',שעורה,תפוא,חיטה א',חיטה ב'
183-3,,,חיטה ב',חומוס,תפוא,חיטה א',חיטה ב',חיטה ב',גזר + חיטה א',תפוא,חיטה א',חיטה ב',שעורה,תפוא,חיטה א',חיטה ב'
102-1,,,,חיטה ב',חומוס,חיטה א',חיטה ב',חיטה ג',אפונה,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',שעורה,חימצה בעל
102-2,,,,חיטה ב',חומוס,חיטה א',חיטה ב',חיטה ג',אפונה,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',שעורה,כרב נח
102-3,,,,חיטה ב',חומוס,חיטה א',חיטה ב',חיטה ג',אפונה,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',שעורה,כרב נח
105,,,,חיטה ב',חומוס,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',שעורה,תלתן,חיטה א'
106,,,,חיטה ב',חומוס,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',שעורה,תלתן,חיטה א'
107,,,,חיטה ב',חומוס,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',שעורה,תלתן,חיטה א'
108,,,,חיטה ב',כרב נח,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',שעורה,תלתן,חיטה א'
109,,,,,,,חיטה ב',תלתן,חיטה א',חיטה ב',אפונה,חיטה א',חיטה א',חיטה ב',שעורה,כרב נח
184-1,,,אפונה,חיטה א',חיטה ב',תפוא,תפוא ,חיטה א',גזר + חיטה ב',חיטה א' + פפריקה,תפוא,חיטה א' + חיטה ב',שעורה,כרב נח,תפוא,חיטה א'
184-2,,,אפונה,חיטה א',חיטה ב',תפוא,תפוא ,חיטה א',גזר + חיטה ב',חיטה א' + פפריקה,תפוא,חיטה א' + חיטה ב',שעורה,כרב נח,תפוא,חיטה א'
110,,,,חיטה ב',חומוס,חיטה א',חיטה ב',אפונה,תפוא,חיטה א',תפוא,חיטה א',חיטה ב',שעורה,כרב נח,חיטה א'
111-1,,,תפוא ,חיטה א',גזר,חיטה א',תפוא,חיטה א',חיטה ב',אפונה,תפוא,חיטה א',חיטה ב' + כרב נח,חיטה ג' + חיטה א',תפוא,חיטה א'
111-2,,,תפוא ,חיטה א',גזר,חיטה א',תפוא,חיטה א',חיטה ב',אפונה,תפוא,חיטה א',חיטה ב' + גזר,חיטה ג' + חיטה א',תפוא,חיטה א'
113-1,,,חיטה,תפוא,חיטה א',פפריקה,מללי,חיטה א',תפוא,חיטה א',גזר/מללי,חיטה א',תפוא,חיטה א',חיטה ב',שעורה
113-2,,,חיטה,תפוא,חיטה א',פפריקה,מללי,חיטה א',תפוא,חיטה א',גזר/מללי,חיטה א',תפוא,חיטה א',חיטה ב',שעורה
112-1,,,חיטה / גזר קיץ,חיטה א',תפוא ,פפריקה,מללי,חיטה א',חיטה ב',תפוא ,חיטה א',גזר,חיטה א',תפוא,חיטה א',חיטה ב'
112-2,,,חיטה / גזר קיץ,חיטה א',תפוא ,פפריקה,מללי,חיטה א',חיטה ב',תפוא,חיטה א',גזר,חיטה א',תפוא,חיטה א',חיטה ב'
114-11,,,,חיטה ב',חומוס,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב', תפוא,חיטה א',חיטה ב',שעורה,מללי,חיטה א'
1051-1,,מללי,פפריקה,מללי,תפוא ,חיטה א',חיטה ב',פטרוזיליה,חיטה א',תפוא,חיטה א',מללי,שעורה,תפוא,חיטה א',בצל
1051-2,,מללי,פפריקה,מללי,תפוא,חיטה א',חיטה ב',פטרוזיליה,חיטה א',תפוא,חיטה א',חיטה ב',שעורה,תפוא,חיטה א',בצל
1053-1,,פפריקה,מללי,תפוא,חיטה א',פטרוזיליה,חיטה א',גזר,חיטה א',תפוא ,חיטה א',חיטה ב',שעורה,תפוא,חיטה א',חימצה
1053-2,,פפריקה,מללי,תפוא,חיטה א',פטרוזיליה,חיטה א',גזר,חיטה א',תפוא ,חיטה א' + סלרי,חיטה א' + חיטה ב',שעורה,תפוא,חיטה א',חימצה
1053-3,,פפריקה,מללי,תפוא,חיטה א',גזר,חיטה א' + גזר,חיטה ב' + פטרוזיליה,תפוא,חיטה א',סלרי,חיטה א',תפוא,חיטה א',חיטה א',חימצה
1054-1,,חיטה א',תפוא ,חיטה א',פפריקה,חיטה א',תפוא,חיטה א',פטרוזיליה,חיטה א',תפוא,חיטה א',מללי,חיטה א',תפוא,חיטה א'
1054-2,,חיטה א',תפוא,חיטה א',פפריקה,חיטה א',תפוא,חיטה א',פטרוזיליה,חיטה א',תפוא,חיטה א',מללי,חיטה א',תפוא,חיטה א'
1054-3,,חיטה א',תפוא ,חיטה א',מללי,חיטה א',תפוא,חיטה א',פטרוזיליה,חיטה א',תפוא,חיטה א',מללי,חיטה א',תפוא,חיטה א'
1050-1,,מללי,חיטה א',תפוא,חיטה א',,,גזר,תפוא,חיטה א',חיטה ב',שעורה,כרב נח,חיטה א',חימצה,חיטה א'
1050-2,,מללי,חיטה א',תפוא,חיטה א',חיטה ב',כרב נח,גזר,תפוא,חיטה א',חיטה ב',שעורה,תפוא,חיטה א',חימצה,חיטה א'
