איזור גידול,סוג חלקה,אורגני,מספר חלקה ,_id,שם חלקת אם,שם חלקה מפורט,שטח ברוטו (דונם),מגוף השקייה,מקור מים,דונם לגידול שלחין,תיאור מיקום מדוייק,אזור פיצוי בצורת,אחוז בצורת,איזור ביטוח קנט,מספר משרד החקלאות,מספר חלקה ישן,SHAPE_Length,מרכז שדה קו-רוחב,מרכז שדה קו-אורך,OBJECTID *,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,חורף 2018,קיץ 2018,2019,2019 - קיץ,2020,2021,2022,2023,2024,פתיחת חלקה בביאקם 2019,,דוררת,גרב אבקי,אבנים,רגישות לקרה,חיטוי אדיגן,תאריך אחרון לחיטוי,התאמה לריסוס אווירי,הרכב הקרקע,ניקוז,רוחות,גשם,"אפיון סביבה ונוף:
מגבלות שהוטלו ע""י המשרד לאיכות הסביבה / נציבות המים / הרשות לשמירת הטבע ","נכסי טבע ונוף בסביבה
(צומח,חי,אתרים היסטוריים וארכאולוגים)",פוריות ,התאמת הקרקע לגידול ,התאמת מי השקיה לגידול,עשבים רעים,"הדברת עשבים
(חומרים / שיטות)",שאריות חומרי הדברת עשבים,מזיקים ומחלות בגידולים קודמים (בגידול ב 2017),מכשולים בחלקה ובסביבתה,זבלים אורגניים,נזק מבעלי חים,נזק מגידולים שכנים,בטיחות עובדים ,"גורמים מיקרוביאליים
(רמת הסיכון)",ינבוט,עלקת מצרית,דטורה,סיכונים לאורגני,type
משמר הנגב,שלחין,רגיל,2005,2005-2,5,2-May,155,152,מאגר רהט,155,,ד7,100,משמר הנגב צפון  - 1,42359,2005,1572.620146,588297.176,169606.5138,93,,,,,,,חיטה א',"תפו""א",חיטה א',חיטה ב',אפונה,"תפו""א",חיטה א',חיטה ב',שעורה,"תפו""א",חיטה א',,חימצה,,חיטה א',"תפו""א",,,,פתוח,חיטה א',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2005,2005-3,5,3-May,156,153,מאגר רהט,156,,ד7,100,משמר הנגב צפון  - 1,42300,2005,1584.000084,588350.2083,169194.9018,186,,,,,,,חיטה א',חיטה ב',"תפו""א / מללי",חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',שעורה,"תפו""א",חיטה א',,חימצה,,חיטה א',"תפו""א",,,,פתוח,חיטה א',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2005,2005-4,5,4-May,157,154,מאגר רהט,157,,ד7,100,משמר הנגב צפון  - 1,42360,2005,1575.218684,588404.005,168780.6165,94,,,,,,,פפריקה,מללי,חיטה א',חיטה ב',"תפו""א",חיטה א',חיטה ב',שעורה / סורגום,"תפו""א / טף",חיטה א',חיטה ב',,שעורה,שומשום,חיטה א',חיטה ב',,,,פתוח,חיטה ב',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2005,2005-5,5,5-May,131,155,מאגר רהט,131,,ד7,100,משמר הנגב צפון  - 1,42297,2005,1674.764368,588425.8004,168377.9876,359,,,,,,,פפריקה,מללי,חיטה א',"תפו""א / חיטה ב'","תפו""א + חיטה א'",חיטה א' + חיטה ב',חיטה ב',שעורה / סורגום,"תפו""א / טף",חיטה א',חיטה ב',,שעורה,שומשום,חיטה א',חיטה ב',,,,פתוח,חיטה ב',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2006,2006-1,6,1-Jun,167,151,מאגר רהט,136,,ד7,100,משמר הנגב דרום - 2,42361,2006,1604.567052,587869.5744,169997.9325,95,,,,,,,חיטה ב',חיטה ג',"תפו""א",חיטה א',חיטה ב',אפונה,"תפו""א / תירס",חיטה א',חיטה ב',שעורה,"תפו""א",,חיטה א',,חיטה ב',שעורה,,,,פתוח,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2006,2006-2,6,2-Jun,138,152,מאגר רהט,139,,ד7,100,משמר הנגב דרום - 2,42302,2006,1480.828701,587928.9221,169564.7016,189,,,,,,,חיטה ב',חיטה ג',"תפו""א",חיטה א',חיטה ב',אפונה,"תפו""א / תירס",חיטה א',חיטה ב',שעורה,"תפו""א",,חיטה א',,חיטה ב',שעורה,,,,פתוח,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2006,2006-3,6,3-Jun,150,153,מאגר רהט,150,,ד7,100,משמר הנגב דרום - 2,42362,2006,1538.056715,587987.0939,169147.6656,96,,,,,,,חיטה א',חיטה ב',אפונה,חיטה א',"תפו""א / כותנה",חיטה א',חיטה ב',שעורה / סורגום,"תפו""א",חיטה א',חיטה ב',,שעורה,,"תפו""א",חיטה א',,,,פתוח,חיטה ב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2006,2006-4,6,4-Jun,144,154,מאגר רהט,144,,ד7,100,משמר הנגב דרום - 2,42298,2006,1522.067332,588039.9628,168732.9507,182,,,,,,,חיטה א',חיטה ב',אפונה,חיטה א',"תפו""א / כותנה",חיטה א',חיטה ב',שעורה / סורגום,"תפו""א",חיטה א',חיטה ב',,שעורה,,"תפו""א",חיטה א',,,,פתוח,חיטה ב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2006,2006-5,6,5-Jun,117,155,מאגר רהט,117,,ד7,100,משמר הנגב דרום - 2,42299,2006,1412.807218,588118.3522,168346.4349,184,,,,,,,פפריקה / חיטה א',מללי,חיטה א',חיטה ב',"תפו""א",חיטה א',חיטה ב',שעורה / סורגום,"תפו""א / טף",חיטה א',חיטה ב',,שעורה,,"תפו""א",חיטה א',,,,פתוח,חיטה ב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2007,2007-1,7,1-Jul,207,150,מאגר רהט,199,חלק דרומי,ד7,100,משמר הנגב צפון  - 1,42380,2007,1905.745706,588190.1486,170439.2641,115,,,,,,,חיטה ב',חיטה ב',"תפו""א / תפו""א / מללי",חיטה א',חיטה ב',אפונה,"תפו""א",חיטה א',חיטה ב',שעורה,"תפו""א",,חיטה א',,חיטה ב',שעורה,,,,פתוח,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2007,2007-1,7,1-Jul,166,150,מאגר רהט,44,חלק צפוני - פלחה,ד7,100,משמר הנגב צפון  - 1,42416,2007,1611.287081,588515.6633,170768.832,292,,,,,,,חיטה ב',חיטה ב',"תפו""א / תפו""א / מללי",חיטה א',חיטה ב',אפונה,אפונה,,חיטה א',חיטה ב',שעורה,,כרב נח,,חיטה א',חיטה ב',,,,פתוח,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2007,2007-1,7,1-Jul,122,150,מאגר רהט,122,חלק צפוני-שלחין,ד7,100,משמר הנגב צפון  - 1,42416,2007,1611.287081,588515.6633,170768.832,292,,,,,,,חיטה ב',חיטה ב',"תפו""א / תפו""א / מללי",חיטה א',חיטה ב',אפונה,אפונה,"תפו""א",חיטה א',חיטה ב',שעורה,,"תפו""א",,חיטה א',חיטה ב',,,,פתוח,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2007,2007-2,7,2-Jul,124,150,מאגר רהט,109,חלק דרומי,ד7,100,משמר הנגב צפון  - 1,42319,2007,1494.467102,588550.3033,170227.579,213,,,,,,,חיטה ב',חיטה ב',"תפו""א / תפו""א / מללי",חיטה א',חיטה ב',אפונה,"תפו""א",חיטה א',חיטה ב',שעורה,"תפו""א",,חיטה א',,חיטה ב',שעורה,,,,פתוח,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2007,2007-2,7,2-Jul,21,150,מאגר רהט,21,חלק צפוני-שלחין,ד7,100,משמר הנגב צפון - 1,42417,2007,984.023495,588634.2851,170463.6926,293,,,,,,,חיטה ב',חיטה ב',"תפו""א / תפו""א / מללי",חיטה א',חיטה ב',אפונה,אפונה,"תפו""א",חיטה א',חיטה ב',שעורה,,"תפו""א",,חיטה א',חיטה ב',,,,פתוח,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2013,2013-1,13,13-1,184,163,מאגר רהט,184,,ד7,100,משמר הנגב דרום - 2,42308,2013,1707.999569,586876.0602,170826.6182,199,,,,,,,"תפו""א / תפו""א",חיטה א',חיטה ב',אפונה,"תפו""א",חיטה א',חיטה ב',שעורה,"תפו""א / טף",חיטה א',חיטה ב',,שעורה,,חימצה,חיטה א',,,,פתוח,חיטה ב',,,מוקדי אבנים,,,,,,,,,,,,,"ירבוזים, כף אווז, עוקץ העקרב",,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2013,2013-2,13,13-2,188,164,מאגר רהט,188,,ד7,100,משמר הנגב דרום - 2,42341,2013,1732.413748,587171.6625,170543.089,72,,,,,,,"תפו""א / תפו""א",חיטה א',חיטה ב',אפונה,"תפו""א",חיטה א',חיטה ב',שעורה,"תפו""א / טף",חיטה א',חיטה ב',,שעורה,,חימצה,חיטה א',,,,פתוח,חיטה ב',,,מוקדי אבנים,,,,,,,,,,,,,"ירבוזים, כף אווז, עוקץ העקרב",,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2013,2013-3,13,13-3,235,165,מאגר רהט,235,,ד7,100,משמר הנגב דרום - 2,42342,2013,1964.812575,587443.1387,170220.1988,73,,,,,,,"תפו""א / תפו""א",חיטה א',חיטה ב',אפונה,"תפו""א",חיטה א',חיטה ב',שעורה,"תפו""א / טף",חיטה א',חיטה ב',,שעורה,שומשום,חיטה א',חיטה ב',,,,פתוח,חיטה ב',,,מוקדי אבנים,,,,,,,,,,,,,"ירבוזים, כף אווז, עוקץ העקרב",,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2013,2013-4,13,13-4,99,151,מאגר רהט,99,,ד7,100,משמר הנגב דרום - 2,42303,2013,1544.388671,587594.6894,169867.285,191,,,,,,,"תפו""א",חיטה א',חיטה ב',"תפו""א",חיטה א',חיטה ב',שעורה,"תפו""א",חיטה א',חיטה ב',שעורה,,"תפו""א",,חיטה א',חיטה ב',,,,פתוח,,,,,,,,,,,,,,,,,"ירבוזים, כף אווז, עוקץ העקרב",,,,,,,,,,,,,,נמצא DDT בתפוא 2018,plot
משמר הנגב,שלחין,רגיל,2014,2014-1,14,14-1,130,173,מאגר רהט,130,צד צפוני,ד7,100,משמר הנגב צפון  - 1,42357,2014,2086.906384,587251.643,171224.2394,91,,,,,,,,חיטה ב',אפונה,"תפו""א / מללי",חיטה א',חיטה ב',שעורה,"תפו""א/סורגום",חיטה א',חיטה ב',חימצה,,חיטה א',,"תפו""א",חיטה א',,,,פתוח,,,,מוקדי אבנים,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2014,2014-2,14,14-2,132,174,מאגר רהט,107,צד צפוני,ד7,100,משמר הנגב צפון  - 1,42306,2014,2102.542154,587557.2938,170946.7292,197,,,,,,,,חיטה ב',אפונה,"תפו""א / מללי",חיטה א',חיטה ב',שעורה,"תפו""א/סורגום",חיטה א',חיטה ב',חימצה,,חיטה א',,"תפו""א",חיטה א',,,,פתוח,,,,מוקדי אבנים,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2014,2014-3,14,14-3,131,175,מאגר רהט,122,צד צפוני,ד7,100,משמר הנגב צפון  - 1,42307,2014,2086.413397,587858.8127,170664.3186,198,,,,,,,,חיטה ב',אפונה,"תפו""א / מללי",חיטה א',חיטה ב',שעורה,"תפו""א/סורגום",חיטה א',חיטה ב',חימצה,,חיטה א',,"תפו""א",חיטה א',,,,פתוח,,,,מוקדי אבנים,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2014,2014-1,14,14-1,130,173,מאגר רהט,130,צד דרומי,ד7,100,משמר הנגב צפון  - 1,42357,2014,2086.906384,587251.643,171224.2394,91,,,,,,,,חיטה ב',אפונה,"תפו""א / מללי",חיטה א',חיטה ב',שעורה,"תפו""א/סורגום",חיטה א',חיטה ב',שעורה,,"תפו""א",,חיטה א',חיטה ב',,,,פתוח,,,,מוקדי אבנים,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2014,2014-2,14,14-2,132,174,מאגר רהט,132,צד דרומי,ד7,100,משמר הנגב צפון  - 1,42306,2014,2102.542154,587557.2938,170946.7292,197,,,,,,,,חיטה ב',אפונה,"תפו""א / מללי",חיטה א',חיטה ב',שעורה,"תפו""א/סורגום",חיטה א',חיטה ב',שעורה,,"תפו""א",,חיטה א',חיטה ב',,,,פתוח,,,,מוקדי אבנים,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2014,2014-3,14,14-3,131,175,מאגר רהט,131,צד דרומי,ד7,100,משמר הנגב צפון  - 1,42307,2014,2086.413397,587858.8127,170664.3186,198,,,,,,,,חיטה ב',אפונה,"תפו""א / מללי",חיטה א',חיטה ב',שעורה,"תפו""א/סורגום",חיטה א',חיטה ב',שעורה,,"תפו""א",,חיטה א',חיטה ב',,,,פתוח,,,,מוקדי אבנים,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2015,2015-1,15,15-1,340,171,מאגר רהט,340,,ד7,100,משמר הנגב צפון  - 1,42381,2015,2459.126169,587124.4123,172324.489,116,,,,,,,חיטה ב' + אפונה,"חיטה ג' + (תפו""א / מללי)",חיטה ד' + חיטה א',"תפו""א / מללי",חיטה א',חיטה ב',שעורה,"תפו""א / סורגום",חיטה א',חיטה ב',שעורה,,"תפו""א",,חיטה א',חיטה ב',,,,פתוח,,,,מוקדי אבנים,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2015,2015-2,15,15-2,100,172,מאגר רהט,95,15-2 דרום,ד7,100,משמר הנגב צפון  - 1,42323,2015,2282.058553,587403.1242,172014.5068,504,,,,,,,חיטה א',"תפו""א / מללי",חיטה א',חיטה ב',אפונה,חיטה א',"תפו""א",חיטה א',חיטה ב',שעורה,"תפו""א",,חיטה א',,חיטה ב',שעורה,,,,נפתח (מזרע 1),,,,מוקדי אבנים,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2015,2015-3,15,15-3,100,173,מאגר רהט,96,15-3 דרום,ד7,100,משמר הנגב צפון  - 1,42311,2015,2161.989282,587679.1667,171704.9264,502,,,,,,,חיטה א',"תפו""א / מללי",חיטה א',חיטה ב',אפונה,חיטה א',"תפו""א/מללי",חיטה א',חיטה ב',שעורה,"תפו""א",,חיטה א',,חיטה ב',שעורה,,,,נפתח (מזרע 1),,,,מוקדי אבנים,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2015,2015-4,15,15-4,100,174,מאגר רהט,99,15-4 דרום,ד7,100,משמר הנגב צפון  - 1,42322,2015,1960.259242,587925.4975,171394.6733,217,,,,,,,חיטה א',"תפו""א / מללי",חיטה א',חיטה ב',אפונה,חיטה א',"תפו""א/מללי",חיטה א',חיטה ב',שעורה,"תפו""א",,חיטה א',,חיטה ב',שעורה,,,,נפתח (מזרע 1),,,,מוקדי אבנים,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2015,2015-2,15,15-2,103,172,מאגר רהט,103,15-2 אמצע ( מברז 9 מדרום עד ברז 16 מדרום),ד7,100,משמר הנגב צפון  - 1,42323,2015,2282.058553,587403.1242,172014.5068,504,,,,,,,חיטה א',"תפו""א / מללי",חיטה א',חיטה ב',אפונה,"תפו""א",חיטה א',חיטה ב',שעורה / טף,"תפו""א",חיטה א',,חימצה,,חיטה א',"תפו""א",,,,פתוח,חיטה א',,,מוקדי אבנים,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2015,2015-3,15,15-3,103,173,מאגר רהט,103,15-3 אמצע ( מברז 9 מדרום עד ברז 16 מדרום),ד7,100,משמר הנגב צפון  - 1,42311,2015,2161.989282,587679.1667,171704.9264,502,,,,,,,חיטה א',"תפו""א / מללי",חיטה א',חיטה ב',אפונה,"תפו""א",חיטה א',חיטה ב',שעורה / טף,"תפו""א/טף",חיטה א',,חימצה,,חיטה א',"תפו""א",,,,פתוח,חיטה א',,,מוקדי אבנים,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2015,2015-4,15,15-4,75,174,מאגר רהט,75,15-4 אמצע ( מברז 9 מדרום עד ברז 16 מדרום),ד7,100,משמר הנגב צפון  - 1,42322,2015,1960.259242,587925.4975,171394.6733,217,,,,,,,,חיטה א',"תפו""א / מללי",חיטה א',חיטה ב',אפונה,"תפו""א",חיטה א',חיטה ב',מללי,חיטה א',,חיטה ב',,שעורה,,,,,פתוח,חיטה א',,,מוקדי אבנים,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2015,2015-2,15,15-2,97,172,מאגר רהט,97,15-2 צפון,ד7,100,משמר הנגב צפון  - 1,42323,2015,2282.058553,587403.1242,172014.5068,504,,,,,,,חיטה א',"תפו""א / מללי",חיטה א',חיטה ב',אפונה,"תפו""א",חיטה א',חיטה ב',שעורה / טף,"תפו""א",חיטה א',,חיטה ב',,חימצה,"תפו""א",,,,נפתח (מזרע 2),חיטה א',,,מוקדי אבנים,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2015,2015-3,15,15-3,67,173,מאגר רהט,67,15-3 צפון,ד7,100,משמר הנגב צפון  - 1,42311,2015,2161.989282,587679.1667,171704.9264,502,,,,,,,חיטה א',"תפו""א / מללי",חיטה א',חיטה ב',אפונה,"תפו""א",חיטה א',חיטה ב',שעורה / טף,"תפו""א/טף",חיטה א',,חיטה ב',,חימצה,"תפו""א",,,,נפתח (מזרע 2),חיטה א',,,מוקדי אבנים,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2015,2015-4,15,15-4,29,174,מאגר רהט,29,15-4 צפון,ד7,100,משמר הנגב צפון  - 1,42322,2015,1960.259242,587925.4975,171394.6733,217,,,,,,,,חיטה א',"תפו""א / מללי",חיטה א',חיטה ב',אפונה,"תפו""א",חיטה א',חיטה ב',מללי,חיטה א',,חיטה ב',,שעורה,כרב נח,,,,נפתח (מזרע 2),חיטה א',,,מוקדי אבנים,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2015,2015-5,15,15-5,110,175,מאגר רהט,93,,ד7,100,משמר הנגב צפון  - 1,42309,2015,1536.763116,588181.678,170996.5008,200,,,,,,,חיטה א',"תפו""א",חיטה א',חיטה ב',אפונה,חיטה א',"תפו""א/מללי",חיטה א',חיטה ב',שעורה/מללי,"תפו""א",,חיטה א',,חיטה ב',שעורה,,,,נפתח (מזרע 3),,,,מוקדי אבנים,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2016,2016-1,16,16-1,254,161,מאגר רהט,254,,ד7,100,משמר הנגב צפון  - 1,42382,2016,2124.868992,586648.417,171777.9415,117,,,,,,,אפונה,"תפו""א / תפו""א / מללי",חיטה א',חיטה ב',אפונה,"תפו""א",חיטה א',חיטה ב',שעורה,"תפו""א/טף",חיטה א',,חיטה ב',,שעורה,"תפו""א",,,,פתוח,חיטה א',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2016,2016-2,16,16-2,250,162,מאגר רהט,250,,ד7,100,משמר הנגב צפון  - 1,42313,2016,2046.991713,586949.0205,171502.0317,206,,,,,,,אפונה,"תפו""א / תפו""א / מללי",חיטה א',חיטה ב',אפונה,"תפו""א",חיטה א',חיטה ב',שעורה,"תפו""א/טף",חיטה א',,חיטה ב',,שעורה,"תפו""א",,,,פתוח,חיטה א',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2017,2017-1,17,17-1,134,159,מאגר רהט,123,,ד7,100,משמר הנגב צפון  - 1,42310,2017,1524.408981,586348.1537,171384.7994,201,,,,,,,חיטה ב',חיטה ב',"תפו""א / מללי",חיטה א',חיטה ב',אפונה,"תפו""א/סורגום",חיטה א',חיטה ב',שעורה,"תפו""א",,חיטה א',,חיטה ב',שעורה,,,,פתוח,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
